Person (use one the names used in table People, you  can repeat the person name in several rows)			The organisation to which the person  is related (if applicable)	This field is alternative to column D! e.g. magazine title		Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Only for  educational events	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
Person name @en	Person  name @ar	Event type	Organisation or POI	Work title	Occupation	City	District	Country	From year	To year	From date	To date	Student of	Sources public	Sources private	Other notes
	الخضراء الجيوسي، سلملى	Employment	University of Algiers		Lecturer	Alger		Algeria	1973	1975						
	الخضراء الجيوسي، سلملى	Employment	University of Constantine		Lecturer	Constantine		Algeria	1973	1975						
	الخضراء الجيوسي، سلملى	Employment	University of Utah		Lecturer	Salt Lake City		United States	1975							
	الخضراء الجيوسي، سلملى	Employment	University of Washington		Lecturer	Seattle		United States								
	الخضراء الجيوسي، سلملى	Employment	University of Texas		Lecturer	Austin		United States								
	الخضراء الجيوسي، سلملى	Employment	University of Michigan		Lecturer	Ann Arbor		United States	1980							
	الخضراء الجيوسي، سلملى	Employment	Institute of Higher Studies Berlin		Lecturer	Berlin		Germany	1994	1995						
	الخضراء الجيوسي، سلملى	Employment	Middle East Studies Association of North America		Lecturer				1973	1973						
	الخضراء الجيوسي، سلملى	Residence				Bonn		Germany								
	الخضراء الجيوسي، سلملى	Residence				Beirut		Lebanon								
	الخضراء الجيوسي، سلملى	Residence				London		United Kingdom								
	الخضراء الجيوسي، سلملى	Award	Sheikh Zayed Book Award		Cultural Personality of the Year	Abu Dhabi		United Arab Emirates	2020	2020						
	الخضراء الجيوسي، سلملى	Award	Palestine Liberation Organisation						1991	1991						
	الخضراء الجيوسي، سلملى	Award	Kuwait Ministry of Culture			Kuwait City		Kuwait	2002	2002						
	الخضراء الجيوسي، سلملى	Award	Higher Council for Culture in Egypt			Cairo		Egypt	2006	2006						
	الخضراء الجيوسي، سلملى	Award	Algerian Ministry of Culture			Alger		Algeria	2007	2007						
	الخضراء الجيوسي، سلملى	Award	King Abdullah Bin Abdulaziz International Award for Translation		Translator	Riyadh		Saudi Arabia	2008	2008						
	البحري, جميل	Education	مدرسة الروم الكاثوليك بحيفا			Haifa		Palestine								
	البحري, جميل	Employment	مدرسة الروم الكاثوليك بحيفا		Teacher	Haifa		Palestine	1914	1920						
	البحري, جميل	Employment	المكتبة الجامعة			Haifa		Palestine	1920	1921						
	البحري, جميل	Employment	المكتبة الجامعة			Haifa		Palestine	1921	1931						
																
Marilena		Employment		Marilena's journal (ISSN:12345)	Editor	Aleppo			1990	1995						
Marilena		Employment		Marilena's journal (ISSN:12-554)	Editor	Abu Dis			1996	1998						
