Person (use one the names used in table People, you  can repeat the person name in several rows)			The organisation to which the person  is related (if applicable)	This field is alternative to column D! e.g. magazine title		Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Only for  educational events	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
Person name @en	Person  name @ar	Event type	Organisation or POI	Work title	Occupation	City	District	Country	From year	To year	From date	To date	Student of	Sources public	Sources private	Other notes
	الخضراء الجيوسي, سلمى	Employment	Institute of Higher Studies Berlin		Lecturer	Berlin		Germany	1994	1995						
	الخضراء الجيوسي, سلمى	Employment	Middle East Studies Association of North America		Lecturer				1973	1973						
	الخضراء الجيوسي, سلمى	Residence				Bonn		Germany								
	الخضراء الجيوسي, سلمى	Residence				Beirut		Lebanon								
	الخضراء الجيوسي, سلمى	Residence				London		United Kingdom								
	الخضراء الجيوسي, سلمى	Award	Sheikh Zayed Book Award		Cultural Personality of the Year	Abu Dhabi		United Arab Emirates	2020	2020						
	الخضراء الجيوسي, سلمى	Award	Palestine Liberation Organisation						1991	1991						
	الخضراء الجيوسي, سلمى	Award	Kuwait Ministry of Culture			Kuwait City		Kuwait	2002	2002						
	الخضراء الجيوسي, سلمى	Award	Higher Council for Culture in Egypt			Cairo		Egypt	2006	2006						
	الخضراء الجيوسي, سلمى	Award	Algerian Ministry of Culture			Alger		Algeria	2007	2007						
	الخضراء الجيوسي, سلمى	Award	King Abdullah Bin Abdulaziz International Award for Translation		Translator	Riyadh		Saudi Arabia	2008	2008						
	الدجاني, حسن	Employment		الجزيرة	Editor	Jerusalem		Palestine	1924	1927						
	السبع, هاشم	Employment		الصريح	Editor	Jaffa		Palestine	1947	1958						
	الشنطي, محمد	Employment		الخميس	Editor	Jaffa		Palestine	1926	1926						
	الشنطي, محمد	Employment		الصرخة	Editor	Jaffa		Palestine	1926	1927						
	الطيب, نجيب	Employment		الجهاد	Editor	Jaffa		Palestine								
	العيسى, حنا, يوسف	Employment		فلسطين	Editor	Jaffa		Palestine	1911	1921						
	العيسى, داوود, عيسى	Employment		فلسطين	Editor	Jaffa		Palestine	1911	1921						
	الغوري, اميل	Employment		الشباب	Editor	Jerusalem		Palestine	1934	1935						
	القلقيلي, عبد الله	Employment		الصراط	Editor	Jaffa		Palestine	1924	1947						
	بشناق, عبد الرحمن	Employment		مجلة المنتدى	Editor	Jerusalem		Palestine			01/04/1943	28/03/1947				
	توما, اميل	Employment		صحيفة الاتحاد	Editor	Haifa		Palestine	1944							
	جبر, عادل	Employment		حيفا	Editor	Haifa		Palestine	1930	1931						
	حبيبي, اميل	Employment		المهماز	Editor	Haifa		Palestine	1946	1946						
	حبيبي, اميل	Employment		صحيفة الاتحاد	Editor	Haifa		Palestine	1944							
	حبيبي, اميل	Employment		مشارف	Editor	Haifa		Palestine	1995	2005						
	حداد, منير	Employment		السمير	Editor	Haifa		Palestine	1940	1941						
	حمد, يوسف	Employment		الحارس	Editor	Haifa		Palestine	1946	1947						
	حنا, يوسف	Employment		فلسطين	Editor	Jaffa		Palestine	1921	1948						
	خميس, صليبا	Membership	عصبة التحرر الوطني					Palestine	1948	1949						
	خميس, صليبا	Membership	الحزب الشيوعي الإسرائيلي			Nazareth		Israel	1949	1989						
	خميس, صليبا	Employment		صحيفة الاتحاد	Editor	Haifa		Israel	1949	1989						
	خميس, صليبا	Employment		مجلة الجديد	Editor	Haifa		Israel	1951	1989						
	درويش, محمود	Employment		الكرمل(Beirut)	Editor	Beirut		Lebanon	1981	1982						
	درويش, محمود	Employment		الكرمل(Nicosia)	Editor	Nicosia		Cyprus	1983	1993						
	درويش, محمود	Employment		الكرمل(Ramallah)	Editor	Ramallah		Palestine	1996	2008						
	سويد, محمد	Employment		العهد الجديد	Editor	Jaffa		Palestine	1929	1940						
	شاكر, عيسى	Employment		الغد(Jerusalem)	Editor	Jerusalem		Israel	1945	1947						
	طوبي, جورج	Employment		الغد (Haifa)	Editor	Haifa		Israel								
	عازر, جورج	Employment		الاقدام	Editor	Haifa		Palestine	1929	1930						
	عساف, زينب	Employment		نقد	Editor	Beirut		Lebanon	2007							
	عمرو, مخلص	Employment		مجلة الغد	Editor	Jerusalem		Palestine	1944	1946						
	عمرو, مخلص	Membership	عصبة التحرر الوطني					Palestine	1945	1947						
	عمرو, مخلص	Membership	رابطة المثقفين العرب					Palestine		1948						
	قعوار فرح, نجوى	Education	دار المعلمات بالقدس			Jerusalem		Palestine								
	قعوار فرح, نجوى	Residence				Nazareth		Palestine								
	قعوار فرح, نجوى	Residence				Jerusalem		Palestine								
	قعوار فرح, نجوى	Residence				Nazareth		Palestine	1947	1949						
	قعوار فرح, نجوى	Residence				Haifa		Israel	1950	1965						
	قعوار فرح, نجوى	Residence				Jerusalem		Palestine	1966	1968						
	قعوار فرح, نجوى	Residence				Ramallah		Palestine	1969	1977						
	قعوار فرح, نجوى	Residence				Beirut		Lebanon	1978	1985						
	قعوار فرح, نجوى	Residence				London		United Kingdom	1986	1998						
	قعوار فرح, نجوى	Residence				Toronto		Canada	1999	2015						
	كردي, داود	Employment		الاخلاق	Editor	Jerusalem		Palestine	1932	1933						
	كريم, إبراهيم	Employment		الطبل	Editor	Jerusalem		Palestine	1921	1921						
	كريم, إبراهيم	Employment		الطبل	Editor	Haifa		Palestine	1921	1924						
